"year","island","island_olelo","county","county_olelo","species_group","ecosystem_type","exchange_value","exchange_value_formatted"
2010,"Oahu","Oʻahu","Honolulu","Honolulu","Herbivores","Coastal — Open Ocean",0,"$0"
2011,"Hawaii","Hawaiʻi","Hawaii","Hawaiʻi","Herbivores","All Ecosystems",194737.42906702618,"$194,737"
2011,"Hawaii","Hawaiʻi","Hawaii","Hawaiʻi","Herbivores","Inshore — Reef",194737.42906702618,"$194,737"
2011,"Hawaii","Hawaiʻi","Hawaii","Hawaiʻi","Herbivores","Coastal — Open Ocean",0,"$0"
2011,"Kauai","Kauaʻi","Kauai","Kauaʻi","Herbivores","All Ecosystems",47786.56775323905,"$47,787"
2011,"Kauai","Kauaʻi","Kauai","Kauaʻi","Herbivores","Inshore — Reef",47786.56775323905,"$47,787"
2011,"Kauai","Kauaʻi","Kauai","Kauaʻi","Herbivores","Coastal — Open Ocean",0,"$0"
2011,"Lanai","Lānaʻi","Maui","Maui","Herbivores","All Ecosystems",5375.780953309742,"$5,376"
2011,"Lanai","Lānaʻi","Maui","Maui","Herbivores","Inshore — Reef",5375.780953309742,"$5,376"
2011,"Lanai","Lānaʻi","Maui","Maui","Herbivores","Coastal — Open Ocean",0,"$0"
2011,"Maui","Maui","Maui","Maui","Herbivores","All Ecosystems",84730.09004264408,"$84,730"
2011,"Maui","Maui","Maui","Maui","Herbivores","Inshore — Reef",84730.09004264408,"$84,730"
2011,"Maui","Maui","Maui","Maui","Herbivores","Coastal — Open Ocean",0,"$0"
2011,"Molokai","Molokaʻi","Maui","Maui","Herbivores","All Ecosystems",46061.00564364058,"$46,061"
2011,"Molokai","Molokaʻi","Maui","Maui","Herbivores","Inshore — Reef",46061.00564364058,"$46,061"
2011,"Molokai","Molokaʻi","Maui","Maui","Herbivores","Coastal — Open Ocean",0,"$0"
2011,"Oahu","Oʻahu","Honolulu","Honolulu","Herbivores","All Ecosystems",203985.67077024287,"$203,986"
2011,"Oahu","Oʻahu","Honolulu","Honolulu","Herbivores","Inshore — Reef",203985.67077024287,"$203,986"
2011,"Oahu","Oʻahu","Honolulu","Honolulu","Herbivores","Coastal — Open Ocean",0,"$0"
2012,"Hawaii","Hawaiʻi","Hawaii","Hawaiʻi","Herbivores","All Ecosystems",287989.8441363972,"$287,990"
2012,"Hawaii","Hawaiʻi","Hawaii","Hawaiʻi","Herbivores","Inshore — Reef",287989.8441363972,"$287,990"
2012,"Hawaii","Hawaiʻi","Hawaii","Hawaiʻi","Herbivores","Coastal — Open Ocean",0,"$0"
2012,"Kauai","Kauaʻi","Kauai","Kauaʻi","Herbivores","All Ecosystems",70677.29898857608,"$70,677"
2012,"Kauai","Kauaʻi","Kauai","Kauaʻi","Herbivores","Inshore — Reef",70677.29898857608,"$70,677"
2012,"Kauai","Kauaʻi","Kauai","Kauaʻi","Herbivores","Coastal — Open Ocean",0,"$0"
2012,"Lanai","Lānaʻi","Maui","Maui","Herbivores","All Ecosystems",7946.549874122504,"$7,947"
2012,"Lanai","Lānaʻi","Maui","Maui","Herbivores","Inshore — Reef",7946.549874122504,"$7,947"
2012,"Lanai","Lānaʻi","Maui","Maui","Herbivores","Coastal — Open Ocean",0,"$0"
2012,"Maui","Maui","Maui","Maui","Herbivores","All Ecosystems",125249.12979354551,"$125,249"
2012,"Maui","Maui","Maui","Maui","Herbivores","Inshore — Reef",125249.12979354551,"$125,249"
2012,"Maui","Maui","Maui","Maui","Herbivores","Coastal — Open Ocean",0,"$0"
2012,"Molokai","Molokaʻi","Maui","Maui","Herbivores","All Ecosystems",68087.9823375382,"$68,088"
2012,"Molokai","Molokaʻi","Maui","Maui","Herbivores","Inshore — Reef",68087.9823375382,"$68,088"
2012,"Molokai","Molokaʻi","Maui","Maui","Herbivores","Coastal — Open Ocean",0,"$0"
2012,"Oahu","Oʻahu","Honolulu","Honolulu","Herbivores","All Ecosystems",301360.19611654046,"$301,360"
2012,"Oahu","Oʻahu","Honolulu","Honolulu","Herbivores","Inshore — Reef",301360.19611654046,"$301,360"
2012,"Oahu","Oʻahu","Honolulu","Honolulu","Herbivores","Coastal — Open Ocean",0,"$0"
2013,"Hawaii","Hawaiʻi","Hawaii","Hawaiʻi","Herbivores","All Ecosystems",304381.81054542196,"$304,382"
2013,"Hawaii","Hawaiʻi","Hawaii","Hawaiʻi","Herbivores","Inshore — Reef",304381.81054542196,"$304,382"
2013,"Hawaii","Hawaiʻi","Hawaii","Hawaiʻi","Herbivores","Coastal — Open Ocean",0,"$0"
2013,"Kauai","Kauaʻi","Kauai","Kauaʻi","Herbivores","All Ecosystems",74706.03167099808,"$74,706"
2013,"Kauai","Kauaʻi","Kauai","Kauaʻi","Herbivores","Inshore — Reef",74706.03167099808,"$74,706"
2013,"Kauai","Kauaʻi","Kauai","Kauaʻi","Herbivores","Coastal — Open Ocean",0,"$0"
2013,"Lanai","Lānaʻi","Maui","Maui","Herbivores","All Ecosystems",8396.134930797589,"$8,396"
2013,"Lanai","Lānaʻi","Maui","Maui","Herbivores","Inshore — Reef",8396.134930797589,"$8,396"
2013,"Lanai","Lānaʻi","Maui","Maui","Herbivores","Coastal — Open Ocean",0,"$0"
2013,"Maui","Maui","Maui","Maui","Herbivores","All Ecosystems",132335.2411259751,"$132,335"
2013,"Maui","Maui","Maui","Maui","Herbivores","Inshore — Reef",132335.2411259751,"$132,335"
2013,"Maui","Maui","Maui","Maui","Herbivores","Coastal — Open Ocean",0,"$0"
2013,"Molokai","Molokaʻi","Maui","Maui","Herbivores","All Ecosystems",71940.13703146372,"$71,940"
2013,"Molokai","Molokaʻi","Maui","Maui","Herbivores","Inshore — Reef",71940.13703146372,"$71,940"
2013,"Molokai","Molokaʻi","Maui","Maui","Herbivores","Coastal — Open Ocean",0,"$0"
2013,"Oahu","Oʻahu","Honolulu","Honolulu","Herbivores","All Ecosystems",318274.18923509994,"$318,274"
2013,"Oahu","Oʻahu","Honolulu","Honolulu","Herbivores","Inshore — Reef",318274.18923509994,"$318,274"
2013,"Oahu","Oʻahu","Honolulu","Honolulu","Herbivores","Coastal — Open Ocean",0,"$0"
2014,"Hawaii","Hawaiʻi","Hawaii","Hawaiʻi","Herbivores","All Ecosystems",292404.4481848703,"$292,404"
2014,"Hawaii","Hawaiʻi","Hawaii","Hawaiʻi","Herbivores","Inshore — Reef",292404.4481848703,"$292,404"
2014,"Hawaii","Hawaiʻi","Hawaii","Hawaiʻi","Herbivores","Coastal — Open Ocean",0,"$0"
2014,"Kauai","Kauaʻi","Kauai","Kauaʻi","Herbivores","All Ecosystems",71770.55625906047,"$71,771"
2014,"Kauai","Kauaʻi","Kauai","Kauaʻi","Herbivores","Inshore — Reef",71770.55625906047,"$71,771"
2014,"Kauai","Kauaʻi","Kauai","Kauaʻi","Herbivores","Coastal — Open Ocean",0,"$0"
2014,"Lanai","Lānaʻi","Maui","Maui","Herbivores","All Ecosystems",8063.809830645455,"$8,064"
2014,"Lanai","Lānaʻi","Maui","Maui","Herbivores","Inshore — Reef",8063.809830645455,"$8,064"
2014,"Lanai","Lānaʻi","Maui","Maui","Herbivores","Coastal — Open Ocean",0,"$0"
2014,"Maui","Maui","Maui","Maui","Herbivores","All Ecosystems",127097.31645905116,"$127,097"
2014,"Maui","Maui","Maui","Maui","Herbivores","Inshore — Reef",127097.31645905116,"$127,097"
2014,"Maui","Maui","Maui","Maui","Herbivores","Coastal — Open Ocean",0,"$0"
2014,"Molokai","Molokaʻi","Maui","Maui","Herbivores","All Ecosystems",69092.69431633478,"$69,093"
2014,"Molokai","Molokaʻi","Maui","Maui","Herbivores","Inshore — Reef",69092.69431633478,"$69,093"
2014,"Molokai","Molokaʻi","Maui","Maui","Herbivores","Coastal — Open Ocean",0,"$0"
2014,"Oahu","Oʻahu","Honolulu","Honolulu","Herbivores","All Ecosystems",305579.87085042073,"$305,580"
2014,"Oahu","Oʻahu","Honolulu","Honolulu","Herbivores","Inshore — Reef",305579.87085042073,"$305,580"
2014,"Oahu","Oʻahu","Honolulu","Honolulu","Herbivores","Coastal — Open Ocean",0,"$0"
2015,"Hawaii","Hawaiʻi","Hawaii","Hawaiʻi","Herbivores","All Ecosystems",215166.20991879475,"$215,166"
2015,"Hawaii","Hawaiʻi","Hawaii","Hawaiʻi","Herbivores","Inshore — Reef",215166.20991879475,"$215,166"
2015,"Hawaii","Hawaiʻi","Hawaii","Hawaiʻi","Herbivores","Coastal — Open Ocean",0,"$0"
2015,"Kauai","Kauaʻi","Kauai","Kauaʻi","Herbivores","All Ecosystems",52818.908242069556,"$52,819"
2015,"Kauai","Kauaʻi","Kauai","Kauaʻi","Herbivores","Inshore — Reef",52818.908242069556,"$52,819"
2015,"Kauai","Kauaʻi","Kauai","Kauaʻi","Herbivores","Coastal — Open Ocean",0,"$0"
2015,"Lanai","Lānaʻi","Maui","Maui","Herbivores","All Ecosystems",5930.783315757977,"$5,931"
2015,"Lanai","Lānaʻi","Maui","Maui","Herbivores","Inshore — Reef",5930.783315757977,"$5,931"
2015,"Lanai","Lānaʻi","Maui","Maui","Herbivores","Coastal — Open Ocean",0,"$0"
2015,"Maui","Maui","Maui","Maui","Herbivores","All Ecosystems",93477.73072081694,"$93,478"
2015,"Maui","Maui","Maui","Maui","Herbivores","Inshore — Reef",93477.73072081694,"$93,478"
2015,"Maui","Maui","Maui","Maui","Herbivores","Coastal — Open Ocean",0,"$0"
2015,"Molokai","Molokaʻi","Maui","Maui","Herbivores","All Ecosystems",50816.40158908418,"$50,816"
2015,"Molokai","Molokaʻi","Maui","Maui","Herbivores","Inshore — Reef",50816.40158908418,"$50,816"
2015,"Molokai","Molokaʻi","Maui","Maui","Herbivores","Coastal — Open Ocean",0,"$0"
2015,"Oahu","Oʻahu","Honolulu","Honolulu","Herbivores","All Ecosystems",224599.44514484174,"$224,599"
2015,"Oahu","Oʻahu","Honolulu","Honolulu","Herbivores","Inshore — Reef",224599.44514484174,"$224,599"
2015,"Oahu","Oʻahu","Honolulu","Honolulu","Herbivores","Coastal — Open Ocean",0,"$0"
2016,"Hawaii","Hawaiʻi","Hawaii","Hawaiʻi","Herbivores","All Ecosystems",186203.6120944128,"$186,204"
2016,"Hawaii","Hawaiʻi","Hawaii","Hawaiʻi","Herbivores","Inshore — Reef",186203.6120944128,"$186,204"
2016,"Hawaii","Hawaiʻi","Hawaii","Hawaiʻi","Herbivores","Coastal — Open Ocean",0,"$0"
2016,"Kauai","Kauaʻi","Kauai","Kauaʻi","Herbivores","All Ecosystems",45711.79936959219,"$45,712"
2016,"Kauai","Kauaʻi","Kauai","Kauaʻi","Herbivores","Inshore — Reef",45711.79936959219,"$45,712"
2016,"Kauai","Kauaʻi","Kauai","Kauaʻi","Herbivores","Coastal — Open Ocean",0,"$0"
2016,"Lanai","Lānaʻi","Maui","Maui","Herbivores","All Ecosystems",5131.255533377292,"$5,131"
2016,"Lanai","Lānaʻi","Maui","Maui","Herbivores","Inshore — Reef",5131.255533377292,"$5,131"
2016,"Lanai","Lānaʻi","Maui","Maui","Herbivores","Coastal — Open Ocean",0,"$0"
2016,"Maui","Maui","Maui","Maui","Herbivores","All Ecosystems",80876.01543868614,"$80,876"
2016,"Maui","Maui","Maui","Maui","Herbivores","Inshore — Reef",80876.01543868614,"$80,876"
2016,"Maui","Maui","Maui","Maui","Herbivores","Coastal — Open Ocean",0,"$0"
2016,"Molokai","Molokaʻi","Maui","Maui","Herbivores","All Ecosystems",43965.85205659055,"$43,966"
2016,"Molokai","Molokaʻi","Maui","Maui","Herbivores","Inshore — Reef",43965.85205659055,"$43,966"
2016,"Molokai","Molokaʻi","Maui","Maui","Herbivores","Coastal — Open Ocean",0,"$0"
2016,"Oahu","Oʻahu","Honolulu","Honolulu","Herbivores","All Ecosystems",194260.75676688665,"$194,261"
2016,"Oahu","Oʻahu","Honolulu","Honolulu","Herbivores","Inshore — Reef",194260.75676688665,"$194,261"
2016,"Oahu","Oʻahu","Honolulu","Honolulu","Herbivores","Coastal — Open Ocean",0,"$0"
2017,"Hawaii","Hawaiʻi","Hawaii","Hawaiʻi","Herbivores","All Ecosystems",144100.76580814164,"$144,101"
2017,"Hawaii","Hawaiʻi","Hawaii","Hawaiʻi","Herbivores","Inshore — Reef",144100.76580814164,"$144,101"
2017,"Hawaii","Hawaiʻi","Hawaii","Hawaiʻi","Herbivores","Coastal — Open Ocean",0,"$0"
2017,"Kauai","Kauaʻi","Kauai","Kauaʻi","Herbivores","All Ecosystems",35377.78985235419,"$35,378"
2017,"Kauai","Kauaʻi","Kauai","Kauaʻi","Herbivores","Inshore — Reef",35377.78985235419,"$35,378"
2017,"Kauai","Kauaʻi","Kauai","Kauaʻi","Herbivores","Coastal — Open Ocean",0,"$0"
2017,"Lanai","Lānaʻi","Maui","Maui","Herbivores","All Ecosystems",3970.10618892658,"$3,970"
2017,"Lanai","Lānaʻi","Maui","Maui","Herbivores","Inshore — Reef",3970.10618892658,"$3,970"
2017,"Lanai","Lānaʻi","Maui","Maui","Herbivores","Coastal — Open Ocean",0,"$0"
2017,"Maui","Maui","Maui","Maui","Herbivores","All Ecosystems",62574.620838950264,"$62,575"
2017,"Maui","Maui","Maui","Maui","Herbivores","Inshore — Reef",62574.620838950264,"$62,575"
2017,"Maui","Maui","Maui","Maui","Herbivores","Coastal — Open Ocean",0,"$0"
2017,"Molokai","Molokaʻi","Maui","Maui","Herbivores","All Ecosystems",34016.84055995858,"$34,017"
2017,"Molokai","Molokaʻi","Maui","Maui","Herbivores","Inshore — Reef",34016.84055995858,"$34,017"
2017,"Molokai","Molokaʻi","Maui","Maui","Herbivores","Coastal — Open Ocean",0,"$0"
2017,"Oahu","Oʻahu","Honolulu","Honolulu","Herbivores","All Ecosystems",150256.03038066794,"$150,256"
2017,"Oahu","Oʻahu","Honolulu","Honolulu","Herbivores","Inshore — Reef",150256.03038066794,"$150,256"
2017,"Oahu","Oʻahu","Honolulu","Honolulu","Herbivores","Coastal — Open Ocean",0,"$0"
2018,"Hawaii","Hawaiʻi","Hawaii","Hawaiʻi","Herbivores","All Ecosystems",286937.7025861592,"$286,938"
2018,"Hawaii","Hawaiʻi","Hawaii","Hawaiʻi","Herbivores","Inshore — Reef",286937.7025861592,"$286,938"
2018,"Hawaii","Hawaiʻi","Hawaii","Hawaiʻi","Herbivores","Coastal — Open Ocean",0,"$0"
2018,"Kauai","Kauaʻi","Kauai","Kauaʻi","Herbivores","All Ecosystems",70448.59430865446,"$70,449"
2018,"Kauai","Kauaʻi","Kauai","Kauaʻi","Herbivores","Inshore — Reef",70448.59430865446,"$70,449"
2018,"Kauai","Kauaʻi","Kauai","Kauaʻi","Herbivores","Coastal — Open Ocean",0,"$0"
2018,"Lanai","Lānaʻi","Maui","Maui","Herbivores","All Ecosystems",7903.8691695512425,"$7,904"
2018,"Lanai","Lānaʻi","Maui","Maui","Herbivores","Inshore — Reef",7903.8691695512425,"$7,904"
2018,"Lanai","Lānaʻi","Maui","Maui","Herbivores","Coastal — Open Ocean",0,"$0"
2018,"Maui","Maui","Maui","Maui","Herbivores","All Ecosystems",124576.42010302511,"$124,576"
2018,"Maui","Maui","Maui","Maui","Herbivores","Inshore — Reef",124576.42010302511,"$124,576"
2018,"Maui","Maui","Maui","Maui","Herbivores","Coastal — Open Ocean",0,"$0"
2018,"Molokai","Molokaʻi","Maui","Maui","Herbivores","All Ecosystems",67722.28362488492,"$67,722"
2018,"Molokai","Molokaʻi","Maui","Maui","Herbivores","Inshore — Reef",67722.28362488492,"$67,722"
2018,"Molokai","Molokaʻi","Maui","Maui","Herbivores","Coastal — Open Ocean",0,"$0"
2018,"Oahu","Oʻahu","Honolulu","Honolulu","Herbivores","All Ecosystems",299060.4311659576,"$299,060"
2018,"Oahu","Oʻahu","Honolulu","Honolulu","Herbivores","Inshore — Reef",299060.4311659576,"$299,060"
2018,"Oahu","Oʻahu","Honolulu","Honolulu","Herbivores","Coastal — Open Ocean",0,"$0"
